Kind,Name,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgEssentialStrictModified,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariableInternal,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariableProtectedInternal,CountDeclInstanceVariablePublic,CountDeclLibunit,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodDefault,CountDeclMethodFriend,CountDeclMethodInternal,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodProtectedInternal,CountDeclMethodPublic,CountDeclMethodStrictPrivate,CountDeclMethodStrictPublished,CountDeclModule,CountDeclProgunit,CountDeclProperty,CountDeclPropertyAuto,CountDeclSubprogram,CountInput,CountLine,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineCode_Javascript,CountLineCode_Php,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountLineInactive,CountLinePreprocessor,CountLine_Html,CountLine_Javascript,CountLine_Php,CountOutput,CountPackageCoupled,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtEmpty,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,EssentialStrictModified,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxEssentialStrictModified,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,SumEssentialStrictModified
File,"/home/git/sonar plugins/sonar-quamoco-plugin/src/main/java/net/siliconcode/sonar/quamoco/detectors/JavaQuamocoDetector.java",/home/git/sonar plugins/sonar-quamoco-plugin/src/main/java/net/siliconcode/sonar/quamoco/detectors/JavaQuamocoDetector.java,,,,,,,1,1,1,1,,4,0,3,0,,,,1,0,0,,,,5,5,0,,,,,,,5,,,0,,,0,0,,5,,,,,,,,,74,12,,,,25,14,5,,,37,,,,,,,,,,,,11,17,12,,,,5,,,,,,,,,1,1,1,1,,,,0,,,1.48,5,5,5,5,
File,"/home/git/sonar plugins/sonar-quamoco-plugin/src/main/java/net/siliconcode/sonar/quamoco/detectors/QuamocoDetector.java",/home/git/sonar plugins/sonar-quamoco-plugin/src/main/java/net/siliconcode/sonar/quamoco/detectors/QuamocoDetector.java,,,,,,,2,2,2,1,,9,0,5,4,,,,1,0,0,,,,4,4,3,,,,,,,4,,,0,,,0,0,,4,,,,,,,,,88,8,,,,35,17,9,,,45,,,,,,,,,,,,16,27,18,,,,9,,,,,,,,,3,3,3,1,,,,2,,,1.29,8,8,8,4,
File,"/home/git/sonar plugins/sonar-quamoco-plugin/src/main/java/net/siliconcode/sonar/quamoco/detectors/package-info.java",/home/git/sonar plugins/sonar-quamoco-plugin/src/main/java/net/siliconcode/sonar/quamoco/detectors/package-info.java,,,,,,,0,0,0,0,,0,0,0,0,,,,0,0,0,,,,0,0,0,,,,,,,0,,,0,,,0,0,,0,,,,,,,,,23,1,,,,0,0,0,,,22,,,,,,,,,,,,1,1,1,,,,0,,,,,,,,,0,0,0,0,,,,0,,,0.00,0,0,0,0,
File,"/home/git/sonar plugins/sonar-quamoco-plugin/src/main/java/net/siliconcode/sonar/quamoco/profiles/QuamocoCSharpProfile.java",/home/git/sonar plugins/sonar-quamoco-plugin/src/main/java/net/siliconcode/sonar/quamoco/profiles/QuamocoCSharpProfile.java,,,,,,,1,1,1,1,,5,0,5,0,,,,1,0,1,,,,2,2,1,,,,,,,2,,,0,,,0,0,,2,,,,,,,,,64,6,,,,22,15,8,,,36,,,,,,,,,,,,14,17,13,,,,4,,,,,,,,,1,1,1,1,,,,0,,,1.64,2,2,2,2,
File,"/home/git/sonar plugins/sonar-quamoco-plugin/src/main/java/net/siliconcode/sonar/quamoco/profiles/QuamocoJavaProfile.java",/home/git/sonar plugins/sonar-quamoco-plugin/src/main/java/net/siliconcode/sonar/quamoco/profiles/QuamocoJavaProfile.java,,,,,,,1,1,1,1,,5,0,5,0,,,,1,0,1,,,,2,2,1,,,,,,,2,,,0,,,0,0,,2,,,,,,,,,64,6,,,,22,15,8,,,36,,,,,,,,,,,,14,17,13,,,,4,,,,,,,,,1,1,1,1,,,,0,,,1.64,2,2,2,2,
File,"/home/git/sonar plugins/sonar-quamoco-plugin/src/main/java/net/siliconcode/sonar/quamoco/profiles/QuamocoProfileExporter.java",/home/git/sonar plugins/sonar-quamoco-plugin/src/main/java/net/siliconcode/sonar/quamoco/profiles/QuamocoProfileExporter.java,,,,,,,2,2,2,1,,12,2,10,0,,,,1,0,0,,,,1,1,0,,,,,,,1,,,0,,,0,0,,1,,,,,,,,,56,7,,,,20,11,6,,,29,,,,,,,,,,,,11,14,11,,,,3,,,,,,,,,2,2,2,1,,,,1,,,1.45,2,2,2,1,
File,"/home/git/sonar plugins/sonar-quamoco-plugin/src/main/java/net/siliconcode/sonar/quamoco/profiles/QuamocoProfileImporter.java",/home/git/sonar plugins/sonar-quamoco-plugin/src/main/java/net/siliconcode/sonar/quamoco/profiles/QuamocoProfileImporter.java,,,,,,,2,2,2,1,,12,0,11,0,,,,1,0,1,,,,3,3,1,,,,,,,3,,,0,,,1,0,,2,,,,,,,,,92,11,,,,52,26,22,,,29,,,,,,,,,,,,30,40,26,,,,14,,,,,,,,,4,4,4,1,,,,3,,,0.56,7,7,7,3,
File,"/home/git/sonar plugins/sonar-quamoco-plugin/src/main/java/net/siliconcode/sonar/quamoco/profiles/package-info.java",/home/git/sonar plugins/sonar-quamoco-plugin/src/main/java/net/siliconcode/sonar/quamoco/profiles/package-info.java,,,,,,,0,0,0,0,,0,0,0,0,,,,0,0,0,,,,0,0,0,,,,,,,0,,,0,,,0,0,,0,,,,,,,,,23,1,,,,0,0,0,,,22,,,,,,,,,,,,1,1,1,,,,0,,,,,,,,,0,0,0,0,,,,0,,,0.00,0,0,0,0,
File,"/home/git/sonar plugins/sonar-quamoco-plugin/src/main/java/net/siliconcode/sonar/quamoco/profiles/xml/QuamocoProfile.java",/home/git/sonar plugins/sonar-quamoco-plugin/src/main/java/net/siliconcode/sonar/quamoco/profiles/xml/QuamocoProfile.java,,,,,,,1,1,2,1,,6,0,5,0,,,,1,1,0,,,,6,5,2,,,,,,,6,,,0,,,0,0,,6,,,,,,,,,90,13,,,,48,23,19,,,29,,,,,,,,,,,,26,35,19,,,,16,,,,,,,,,2,2,3,1,,,,1,,,0.60,8,8,9,6,
File,"/home/git/sonar plugins/sonar-quamoco-plugin/src/main/java/net/siliconcode/sonar/quamoco/profiles/xml/RepoRule.java",/home/git/sonar plugins/sonar-quamoco-plugin/src/main/java/net/siliconcode/sonar/quamoco/profiles/xml/RepoRule.java,,,,,,,1,1,2,1,,6,0,4,2,,,,1,0,0,,,,3,3,1,,,,,,,3,,,0,,,0,0,,3,,,,,,,,,58,6,,,,16,6,5,,,36,,,,,,,,,,,,6,11,6,,,,5,,,,,,,,,2,2,3,1,,,,1,,,2.25,4,4,5,3,
